"startwith";"contains";"endswith";"find";"replace";"rawmin";"rawmax";"engmin";"engmax";"unit";"format";"description";"alarmoption";"trendoption"
;;"_HeatCoilConfig.odtHyst";"_HeatCoilConfig.odtHyst";"_SP5";;;;;"°C";"0.0";"Stoppgräns utetemp.";;


;;"_NightCoolConfig.roomLimit";"_NightCoolConfig.roomLimit";"_SP2";;;;;"°C";"0.0";"Startgräns rumstemperatur nattkyla";;
;;"_NightCoolConfig.roomHyst";"_NightCoolConfig.roomHyst";"_SP3";;;;;"°C";"0.0";"Stopphyst. rumstemperatur nattkyla";;
;;"_NightCoolConfig.odtLimit";"_NightCoolConfig.odtLimit";"_SP4";;;;;"°C";"0.0";"Startgräns utetemp.";;
;;"_NightCoolConfig.odtHyst";"_NightCoolConfig.odtHyst";"_SP5";;;;;"°C";"0.0";"Stopphysteres utetemp.";;
;;"_NightCoolConfig.minTempDiff";"_NightCoolConfig.minTempDiff";"_SP6";;;;;"°C";"0.0";"Mingräns temperatur mellan rum och utomhustemp.";;
;;"_NightCoolConfig.heatBlockPeriodH";"_NightCoolConfig.heatBlockPeriodH";"_SP8";;;;;"tim";"0.0";"Antal timmar blockering nattkyla";;

;;"_ScheduleWeekdaysConfig.startMon.scaledTime";"_ScheduleWeekdaysConfig.startMon.scaledTime";"_CT1";;;;;"hh:mm";"00:00";"Måndag";;
;;"_ScheduleWeekdaysConfig.startTue.scaledTime";"_ScheduleWeekdaysConfig.startTue.scaledTime";"_CT2";;;;;"hh:mm";"00:00";"Tisdag";;
;;"_ScheduleWeekdaysConfig.startWed.scaledTime";"_ScheduleWeekdaysConfig.startWed.scaledTime";"_CT3";;;;;"hh:mm";"00:00";"Onsdag";;
;;"_ScheduleWeekdaysConfig.startThu.scaledTime";"_ScheduleWeekdaysConfig.startThu.scaledTime";"_CT4";;;;;"hh:mm";"00:00";"Torsdag";;
;;"_ScheduleWeekdaysConfig.startFri.scaledTime";"_ScheduleWeekdaysConfig.startFri.scaledTime";"_CT5";;;;;"hh:mm";"00:00";"Fredag";;
;;"_ScheduleWeekdaysConfig.startSat.scaledTime";"_ScheduleWeekdaysConfig.startSat.scaledTime";"_CT6";;;;;"hh:mm";"00:00";"Lördag";;
;;"_ScheduleWeekdaysConfig.startSun.scaledTime";"_ScheduleWeekdaysConfig.startSun.scaledTime";"_CT7";;;;;"hh:mm";"00:00";"Söndag";;

;;"_ScheduleWeekdaysConfig.stopMon.scaledTime";"_ScheduleWeekdaysConfig.stopMon.scaledTime";"_CF1";;;;;"hh:mm";"00:00";"Måndag";;
;;"_ScheduleWeekdaysConfig.stopTue.scaledTime";"_ScheduleWeekdaysConfig.stopTue.scaledTime";"_CF2";;;;;"hh:mm";"00:00";"Tisdag";;
;;"_ScheduleWeekdaysConfig.stopWed.scaledTime";"_ScheduleWeekdaysConfig.stopWed.scaledTime";"_CF3";;;;;"hh:mm";"00:00";"Onsdag";;
;;"_ScheduleWeekdaysConfig.stopThu.scaledTime";"_ScheduleWeekdaysConfig.stopThu.scaledTime";"_CF4";;;;;"hh:mm";"00:00";"Torsdag";;
;;"_ScheduleWeekdaysConfig.stopFri.scaledTime";"_ScheduleWeekdaysConfig.stopFri.scaledTime";"_CF5";;;;;"hh:mm";"00:00";"Fredag";;
;;"_ScheduleWeekdaysConfig.stopSat.scaledTime";"_ScheduleWeekdaysConfig.stopSat.scaledTime";"_CF6";;;;;"hh:mm";"00:00";"Lördag";;
;;"_ScheduleWeekdaysConfig.stopSun.scaledTime";"_ScheduleWeekdaysConfig.stopSun.scaledTime";"_CF7";;;;;"hh:mm";"00:00";"Söndag";;

;;"_SingleFanConfig.offDelayS";"_SingleFanConfig.offDelayS";"_SP5";;;;;"s";"";"Frånslagsfördröjning";;
;;"_SingleFanConfig.onDelayS";"_SingleFanConfig.onDelayS";"_SP6";;;;;"s";"";"Tillslagsfördröjning";;
;;"_SingleFanConfig.alarmDelayS";"_SingleFanConfig.alarmDelayS";"_AD";;;;;"s";"";"Larmfördröjning";;


;;"_CurveTemperatureConfig.x[1]";"_CurveTemperatureConfig.x[1]";"_X1";;;;;"°C";"0.0";"X-värde 1";;
;;"_CurveTemperatureConfig.x[2]";"_CurveTemperatureConfig.x[2]";"_X2";;;;;"°C";"0.0";"X-värde 2";;
;;"_CurveTemperatureConfig.x[3]";"_CurveTemperatureConfig.x[3]";"_X3";;;;;"°C";"0.0";"X-värde 3";;
;;"_CurveTemperatureConfig.x[4]";"_CurveTemperatureConfig.x[4]";"_X4";;;;;"°C";"0.0";"X-värde 4";;
;;"_CurveTemperatureConfig.x[5]";"_CurveTemperatureConfig.x[5]";"_X5";;;;;"°C";"0.0";"X-värde 5";;
;;"_CurveTemperatureConfig.x[6]";"_CurveTemperatureConfig.x[6]";"_X6";;;;;"°C";"0.0";"X-värde 6";;
;;"_CurveTemperatureConfig.x[7]";"_CurveTemperatureConfig.x[7]";"_X7";;;;;"°C";"0.0";"X-värde 7";;
;;"_CurveTemperatureConfig.x[8]";"_CurveTemperatureConfig.x[8]";"_X8";;;;;"°C";"0.0";"X-värde 8";;
;;"_CurveTemperatureConfig.x[9]";"_CurveTemperatureConfig.x[9]";"_X9";;;;;"°C";"0.0";"X-värde 9";;

;;"_CurveTemperatureConfig.y[1]";"_CurveTemperatureConfig.y[1]";"_Y1";;;;;"°C";"0.0";"Y-värde 1";;
;;"_CurveTemperatureConfig.y[2]";"_CurveTemperatureConfig.y[2]";"_Y2";;;;;"°C";"0.0";"Y-värde 2";;
;;"_CurveTemperatureConfig.y[3]";"_CurveTemperatureConfig.y[3]";"_Y3";;;;;"°C";"0.0";"Y-värde 3";;
;;"_CurveTemperatureConfig.y[4]";"_CurveTemperatureConfig.y[4]";"_Y4";;;;;"°C";"0.0";"Y-värde 4";;
